"","Individual","Line","Treatment","Timepoint","Image","Nuclei_Count","Condition","Magnification"
"1","Ind1","87-1","DOX","144R","144R_DOX_87_yh2ax_20X_RGB_0001_DAPI",178,"DOX_144R","20X"
"2","Ind1","87-1","DOX","144R","144R_DOX_87_yh2ax_20X_RGB_0005_DAPI",195,"DOX_144R","20X"
"3","Ind1","87-1","DOX","24R","24R_DOX_87_yh2ax_20X_RGB_0001_DAPI",343,"DOX_24R","20X"
"4","Ind1","87-1","DOX","24R","24R_DOX_87_yh2ax_20X_RGB_0002_DAPI",335,"DOX_24R","20X"
"5","Ind1","87-1","DOX","24R","24R_DOX_87_yh2ax_20X_RGB_0010_DAPI",343,"DOX_24R","20X"
"6","Ind1","87-1","DOX","24R","24R_DOX_87_yh2ax_20X_RGB_0011_DAPI",343,"DOX_24R","20X"
"7","Ind1","87-1","DOX","24T","24T_DOX_87_yh2ax_20X_RGB_0001_DAPI",63,"DOX_24T","20X"
"8","Ind1","87-1","VEH","144R","DMSO144R_87_yh2ax_20X_dup_RGB_0001_DAPI",112,"VEH_144R","20X"
"9","Ind1","87-1","VEH","144R","DMSO144R_87_yh2ax_20X_dup_RGB_0002_DAPI",253,"VEH_144R","20X"
"10","Ind1","87-1","VEH","144R","DMSO144R_87_yh2ax_20X_RGB_0001_DAPI",314,"VEH_144R","20X"
"11","Ind1","87-1","VEH","24R","DMSO24R_87_yh2ax_20X_RGB_0001_DAPI",234,"VEH_24R","20X"
"12","Ind1","87-1","VEH","24R","DMSO24R_87_yh2ax_20X_RGB_0002_DAPI",351,"VEH_24R","20X"
"13","Ind1","87-1","VEH","24R","DMSO24R_87_yh2ax_20X_RGB_0003_DAPI",209,"VEH_24R","20X"
"14","Ind1","87-1","VEH","24R","DMSO24R_87_yh2ax_20X_RGB_0004_DAPI",211,"VEH_24R","20X"
"15","Ind1","87-1","VEH","24T","DMSO24T_87_yh2ax_20X_dup_RGB_0001_DAPI",333,"VEH_24T","20X"
"16","Ind1","87-1","VEH","24T","DMSO24T_87_yh2ax_20X_dup_RGB_0002_DAPI",279,"VEH_24T","20X"
"17","Ind1","87-1","VEH","24T","DMSO24T_87_yh2ax_20X_RGB_0001_DAPI",232,"VEH_24T","20X"
"18","Ind1","87-1","VEH","24T","DMSO24T_87_yh2ax_20X_RGB_0002_DAPI",217,"VEH_24T","20X"
"19","Ind1","87-1","DOX","144R","DOX144R_87_yh2ax_20X_dup_RGB_0001_DAPI",146,"DOX_144R","20X"
"20","Ind1","87-1","DOX","144R","DOX144R_87_yh2ax_20X_dup_RGB_0002_DAPI",193,"DOX_144R","20X"
"21","Ind1","87-1","DOX","144R","DOX144R_87_yh2ax_20X_dup_RGB_0003_DAPI",171,"DOX_144R","20X"
"22","Ind1","87-1","DOX","144R","DOX144R_87_yh2ax_20X_dup_RGB_0004_DAPI",321,"DOX_144R","20X"
"23","Ind1","87-1","DOX","24T","DOX24T_87_yh2ax_20X_dup_RGB_0001_DAPI",201,"DOX_24T","20X"
"24","Ind1","87-1","DOX","24T","DOX24T_87_yh2ax_20X_dup_RGB_0002_DAPI",370,"DOX_24T","20X"
"25","Ind1","87-1","DOX","24T","DOX24T_87_yh2ax_20X_RGB_0001_DAPI",185,"DOX_24T","20X"
"26","Ind1","87-1","DOX","24T","DOX24T_87_yh2ax_20X_RGB_0002_DAPI",224,"DOX_24T","20X"
"27","Ind1","87-1","DOX","24T","DOX24T_87_yh2ax_20X_RGB_0003_DAPI",257,"DOX_24T","20X"
"28","Ind1","87-1","DOX","24T","DOX24T_87_yh2ax_20X_RGB_0004_DAPI",152,"DOX_24T","20X"
"29","Ind3","75-1","VEH","144R","DMSO_144R_75_EMP_20X_RGB_0006_DAPI",175,"VEH_144R","20X"
"30","Ind3","75-1","VEH","144R","DMSO_144R_75_EMP_20X_RGB_0007_DAPI",156,"VEH_144R","20X"
"31","Ind3","75-1","VEH","144R","DMSO_144R_75_EMP_20X_RGB_0008_DAPI",69,"VEH_144R","20X"
"32","Ind3","75-1","VEH","144R","DMSO_144R_75_EMP_20X_RGB_0009_DAPI",136,"VEH_144R","20X"
"33","Ind3","75-1","VEH","144R","DMSO_144R_75_EMP_20X_RGB_0010_DAPI",62,"VEH_144R","20X"
"34","Ind3","75-1","VEH","144R","DMSO_144Rd_75_EMP_20X_RGB_0006_DAPI",24,"VEH_144R","20X"
"35","Ind3","75-1","VEH","144R","DMSO_144Rd_75_EMP_20X_RGB_0007_DAPI",20,"VEH_144R","20X"
"36","Ind3","75-1","VEH","144R","DMSO_144Rd_75_EMP_20X_RGB_0008_DAPI",45,"VEH_144R","20X"
"37","Ind3","75-1","VEH","144R","DMSO_144Rd_75_EMP_20X_RGB_0009_DAPI",72,"VEH_144R","20X"
"38","Ind3","75-1","VEH","144R","DMSO_144Rd_75_EMP_20X_RGB_0010_DAPI",115,"VEH_144R","20X"
"39","Ind3","75-1","VEH","24R","DMSO_24R_75_EMP_20X_RGB_0001_DAPI",207,"VEH_24R","20X"
"40","Ind3","75-1","VEH","24R","DMSO_24R_75_EMP_20X_RGB_0002_DAPI",38,"VEH_24R","20X"
"41","Ind3","75-1","VEH","24R","DMSO_24R_75_EMP_20X_RGB_0003_DAPI",26,"VEH_24R","20X"
"42","Ind3","75-1","VEH","24R","DMSO_24R_75_EMP_20X_RGB_0004_DAPI",143,"VEH_24R","20X"
"43","Ind3","75-1","VEH","24R","DMSO_24R_75_EMP_20X_RGB_0005_DAPI",68,"VEH_24R","20X"
"44","Ind3","75-1","VEH","24R","DMSO_24R_75_EMP_20X_RGB_0006_DAPI",13,"VEH_24R","20X"
"45","Ind3","75-1","VEH","24R","DMSO_24R_75_EMP_20X_RGB_0007_DAPI",126,"VEH_24R","20X"
"46","Ind3","75-1","VEH","24R","DMSO_24R_75_EMP_20X_RGB_0012_DAPI",77,"VEH_24R","20X"
"47","Ind3","75-1","VEH","24R","DMSO_24Rdup_75_EMP_20X_RGB_0005_DAPI",95,"VEH_24R","20X"
"48","Ind3","75-1","VEH","24R","DMSO_24Rdup_75_EMP_20X_RGB_0006_DAPI",220,"VEH_24R","20X"
"49","Ind3","75-1","VEH","24R","DMSO_24Rdup_75_EMP_20X_RGB_0007_DAPI",38,"VEH_24R","20X"
"50","Ind3","75-1","VEH","24R","DMSO_24Rdup_75_EMP_20X_RGB_0008_DAPI",77,"VEH_24R","20X"
"51","Ind3","75-1","VEH","24T","DMSO_24T_75_EMP_20X_RGB_0004_DAPI",100,"VEH_24T","20X"
"52","Ind3","75-1","VEH","24T","DMSO_24T_75_EMP_20X_RGB_0005_DAPI",344,"VEH_24T","20X"
"53","Ind3","75-1","VEH","24T","DMSO_24T_75_EMP_20X_RGB_0006_DAPI",219,"VEH_24T","20X"
"54","Ind3","75-1","VEH","24T","DMSO_24T_75_EMP_20X_RGB_0007_DAPI",73,"VEH_24T","20X"
"55","Ind3","75-1","VEH","24T","DMSO_24T_75_EMP_20X_RGB_0008_DAPI",76,"VEH_24T","20X"
"56","Ind3","75-1","VEH","24T","DMSO_24T_75_EMP_20X_RGB_0009_DAPI",136,"VEH_24T","20X"
"57","Ind3","75-1","VEH","24T","DMSO_24T_75_EMP_20X_RGB_0010_DAPI",60,"VEH_24T","20X"
"58","Ind3","75-1","VEH","24T","DMSO_24Tdup_75_EMP_20X_RGB_0001_DAPI",199,"VEH_24T","20X"
"59","Ind3","75-1","VEH","24T","DMSO_24Tdup_75_EMP_20X_RGB_0002_DAPI",116,"VEH_24T","20X"
"60","Ind3","75-1","VEH","24T","DMSO_24Tdup_75_EMP_20X_RGB_0003_DAPI",257,"VEH_24T","20X"
"61","Ind3","75-1","DOX","144R","DOX_144R_75_EMP_20X_RGB_0004_DAPI",87,"DOX_144R","20X"
"62","Ind3","75-1","DOX","144R","DOX_144R_75_EMP_20X_RGB_0005_DAPI",108,"DOX_144R","20X"
"63","Ind3","75-1","DOX","144R","DOX_144R_75_EMP_20X_RGB_0006_DAPI",72,"DOX_144R","20X"
"64","Ind3","75-1","DOX","144R","DOX_144R_75_EMP_20X_RGB_0007_DAPI",99,"DOX_144R","20X"
"65","Ind3","75-1","DOX","144R","DOX_144R_75_EMP_20X_RGB_0008_DAPI",63,"DOX_144R","20X"
"66","Ind3","75-1","DOX","24R","DOX_24R_75_EMP_20X_RGB_0001_DAPI",179,"DOX_24R","20X"
"67","Ind3","75-1","DOX","24R","DOX_24R_75_EMP_20X_RGB_0002_DAPI",155,"DOX_24R","20X"
"68","Ind3","75-1","DOX","24R","DOX_24R_75_EMP_20X_RGB_0005_DAPI",159,"DOX_24R","20X"
"69","Ind3","75-1","DOX","24R","DOX_24Rdup_75_EMP_20X_RGB_0004_DAPI",123,"DOX_24R","20X"
"70","Ind3","75-1","DOX","24R","DOX_24Rdup_75_EMP_20X_RGB_0005_DAPI",224,"DOX_24R","20X"
"71","Ind3","75-1","DOX","24R","DOX_24Rdup_75_EMP_20X_RGB_0006_DAPI",264,"DOX_24R","20X"
"72","Ind3","75-1","DOX","24R","DOX_24Rdup_75_EMP_20X_RGB_0007_DAPI",279,"DOX_24R","20X"
"73","Ind3","75-1","DOX","24R","DOX_24Rdup_75_EMP_20X_RGB_0008_DAPI",100,"DOX_24R","20X"
"74","Ind3","75-1","DOX","24T","DOX_24T_75_EMP_20X_RGB_0001_DAPI",206,"DOX_24T","20X"
"75","Ind3","75-1","DOX","24T","DOX_24T_75_EMP_20X_RGB_0002_DAPI",204,"DOX_24T","20X"
"76","Ind3","75-1","DOX","24T","DOX_24T_75_EMP_20X_RGB_0003_DAPI",223,"DOX_24T","20X"
"77","Ind3","75-1","DOX","24T","DOX_24T_75_EMP_20X_RGB_0004_DAPI",72,"DOX_24T","20X"
"78","Ind3","75-1","DOX","24T","DOX_24T_75_EMP_20X_RGB_0005_DAPI",246,"DOX_24T","20X"
"79","Ind3","75-1","DOX","24T","DOX_24T_75_EMP_20X_RGB_0006_DAPI",90,"DOX_24T","20X"
"80","Ind3","75-1","DOX","24T","DOX_24T_75_EMP_20X_RGB_0007_DAPI",120,"DOX_24T","20X"
"81","Ind3","75-1","DOX","24T","DOX_24Tdup_75_EMP_20X_RGB_0001_DAPI",120,"DOX_24T","20X"
"82","Ind3","75-1","DOX","24T","DOX_24Tdup_75_EMP_20X_RGB_0002_DAPI",85,"DOX_24T","20X"
"83","Ind3","75-1","DOX","24T","DOX_24Tdup_75_EMP_20X_RGB_0003_DAPI",141,"DOX_24T","20X"
"84","Ind3","75-1","DOX","24T","DOX_24Tdup_75_EMP_20X_RGB_0004_DAPI",103,"DOX_24T","20X"
"85","Ind3","75-1","DOX","24T","DOX_24Tdup_75_EMP_20X_RGB_0005_DAPI",90,"DOX_24T","20X"
"86","Ind3","75-1","DOX","24T","DOX_24Tdup_75_EMP_20X_RGB_0006_DAPI",204,"DOX_24T","20X"
"87","Ind3","75-1","DOX","24T","DOX_24Tdup_75_EMP_20X_RGB_0007_DAPI",142,"DOX_24T","20X"
"88","Ind3","75-1","DOX","24T","DOX_24Tdup_75_EMP_20X_RGB_0008_DAPI",194,"DOX_24T","20X"
"89","Ind4","84-1","VEH","144R","DMSO_144R_EMP_250904_RGB_0001_DAPI",34,"VEH_144R","20X"
"90","Ind4","84-1","VEH","144R","DMSO_144R_EMP_250904_RGB_0002_DAPI",75,"VEH_144R","20X"
"91","Ind4","84-1","VEH","144R","DMSO_144R_EMP_250904_RGB_0003_DAPI",55,"VEH_144R","20X"
"92","Ind4","84-1","VEH","144R","DMSO_144R_EMP_250904_RGB_0004_DAPI",65,"VEH_144R","20X"
"93","Ind4","84-1","VEH","144R","DMSO_144R_EMP_250904_RGB_0005_DAPI",69,"VEH_144R","20X"
"94","Ind4","84-1","VEH","144R","DMSO_144R_EMP_250904_RGB_0006_DAPI",102,"VEH_144R","20X"
"95","Ind4","84-1","VEH","144R","DMSO_144R_EMP_250904_RGB_0007_DAPI",105,"VEH_144R","20X"
"96","Ind4","84-1","VEH","144R","DMSO_144R_EMP_250904_RGB_0008_DAPI",25,"VEH_144R","20X"
"97","Ind4","84-1","VEH","144R","DMSO_144R_EMP_250904_RGB_0009_DAPI",54,"VEH_144R","20X"
"98","Ind4","84-1","VEH","144R","DMSO_144R_EMP_250904_RGB_0010_DAPI",27,"VEH_144R","20X"
"99","Ind4","84-1","VEH","144R","DMSO_144R_EMP_250904_RGB_0011_DAPI",70,"VEH_144R","20X"
"100","Ind4","84-1","VEH","144R","DMSO_144R_EMP_250904_RGB_0012_DAPI",47,"VEH_144R","20X"
"101","Ind4","84-1","VEH","24R","DMSO_24R_EMP_250904_RGB_0001_DAPI",89,"VEH_24R","20X"
"102","Ind4","84-1","VEH","24R","DMSO_24R_EMP_250904_RGB_0002_DAPI",62,"VEH_24R","20X"
"103","Ind4","84-1","VEH","24R","DMSO_24R_EMP_250904_RGB_0003_DAPI",52,"VEH_24R","20X"
"104","Ind4","84-1","VEH","24R","DMSO_24R_EMP_250904_RGB_0004_DAPI",72,"VEH_24R","20X"
"105","Ind4","84-1","VEH","24R","DMSO_24R_EMP_250904_RGB_0005_DAPI",29,"VEH_24R","20X"
"106","Ind4","84-1","VEH","24R","DMSO_24R_EMP_250904_RGB_0006_DAPI",115,"VEH_24R","20X"
"107","Ind4","84-1","VEH","24R","DMSO_24R_EMP_250904_RGB_0007_DAPI",60,"VEH_24R","20X"
"108","Ind4","84-1","VEH","24R","DMSO_24R_EMP_250904_RGB_0008_DAPI",69,"VEH_24R","20X"
"109","Ind4","84-1","VEH","24R","DMSO_24R_EMP_250904_RGB_0009_DAPI",19,"VEH_24R","20X"
"110","Ind4","84-1","VEH","24T","DMSO_24T_EMP_250904_RGB_0001_DAPI",31,"VEH_24T","20X"
"111","Ind4","84-1","VEH","24T","DMSO_24T_EMP_250904_RGB_0002_DAPI",35,"VEH_24T","20X"
"112","Ind4","84-1","VEH","24T","DMSO_24T_EMP_250904_RGB_0003_DAPI",68,"VEH_24T","20X"
"113","Ind4","84-1","VEH","24T","DMSO_24T_EMP_250904_RGB_0004_DAPI",66,"VEH_24T","20X"
"114","Ind4","84-1","VEH","24T","DMSO_24T_EMP_250904_RGB_0005_DAPI",13,"VEH_24T","20X"
"115","Ind4","84-1","VEH","24T","DMSO_24T_EMP_250904_RGB_0006_DAPI",23,"VEH_24T","20X"
"116","Ind4","84-1","VEH","24T","DMSO_24T_EMP_250904_RGB_0007_DAPI",44,"VEH_24T","20X"
"117","Ind4","84-1","VEH","24T","DMSO_24T_EMP_250904_RGB_0008_DAPI",120,"VEH_24T","20X"
"118","Ind4","84-1","DOX","144R","DOX_144R_EMP_250904_RGB_0001_DAPI",26,"DOX_144R","20X"
"119","Ind4","84-1","DOX","144R","DOX_144R_EMP_250904_RGB_0002_DAPI",35,"DOX_144R","20X"
"120","Ind4","84-1","DOX","144R","DOX_144R_EMP_250904_RGB_0003_DAPI",37,"DOX_144R","20X"
"121","Ind4","84-1","DOX","144R","DOX_144R_EMP_250904_RGB_0004_DAPI",65,"DOX_144R","20X"
"122","Ind4","84-1","DOX","144R","DOX_144R_EMP_250904_RGB_0005_DAPI",39,"DOX_144R","20X"
"123","Ind4","84-1","DOX","24R","DOX_24R_EMP_250904_RGB_0001_DAPI",17,"DOX_24R","20X"
"124","Ind4","84-1","DOX","24R","DOX_24R_EMP_250904_RGB_0002_DAPI",19,"DOX_24R","20X"
"125","Ind4","84-1","DOX","24R","DOX_24R_EMP_250904_RGB_0003_DAPI",61,"DOX_24R","20X"
"126","Ind4","84-1","DOX","24R","DOX_24R_EMP_250904_RGB_0004_DAPI",81,"DOX_24R","20X"
"127","Ind4","84-1","DOX","24R","DOX_24R_EMP_250904_RGB_0005_DAPI",18,"DOX_24R","20X"
"128","Ind4","84-1","DOX","24R","DOX_24R_EMP_250904_RGB_0006_DAPI",65,"DOX_24R","20X"
"129","Ind4","84-1","DOX","24R","DOX_24R_EMP_250904_RGB_0007_DAPI",36,"DOX_24R","20X"
"130","Ind4","84-1","DOX","24T","DOX_24T_EMP_250904_RGB_0001_DAPI",84,"DOX_24T","20X"
"131","Ind4","84-1","DOX","24T","DOX_24T_EMP_250904_RGB_0002_DAPI",17,"DOX_24T","20X"
"132","Ind4","84-1","DOX","24T","DOX_24T_EMP_250904_RGB_0003_DAPI",29,"DOX_24T","20X"
"133","Ind4","84-1","DOX","24T","DOX_24T_EMP_250904_RGB_0004_DAPI",29,"DOX_24T","20X"
"134","Ind4","84-1","DOX","24T","DOX_24T_EMP_250904_RGB_0005_DAPI",34,"DOX_24T","20X"
"135","Ind4","84-1","DOX","24T","DOX_24T_EMP_250904_RGB_0006_DAPI",48,"DOX_24T","20X"
"136","Ind4","84-1","DOX","24T","DOX_24T_EMP_250904_RGB_0007_DAPI",46,"DOX_24T","20X"
"137","Ind4","84-1","DOX","24T","DOX_24T_EMP_250904_RGB_0008_DAPI",46,"DOX_24T","20X"
"138","Ind4","84-1","DOX","24T","DOX_24T_EMP_250904_RGB_0009_DAPI",4,"DOX_24T","20X"
"139","Ind4","84-1","DOX","24T","DOX_24T_EMP_250904_RGB_0010_DAPI",12,"DOX_24T","20X"
"140","Ind4","84-1","DOX","24T","DOX_24T_EMP_250904_RGB_0011_DAPI",46,"DOX_24T","20X"
"141","Ind4","84-1","DOX","24T","DOX_24T_EMP_250904_RGB_0012_DAPI",46,"DOX_24T","20X"
"142","Ind4","84-1","DOX","24T","DOX_24T_EMP_250904_RGB_0013_DAPI",58,"DOX_24T","20X"
"143","Ind4","84-1","DOX","24T","DOX_24T_EMP_250904_RGB_0014_DAPI",41,"DOX_24T","20X"
"144","Ind4","84-1","DOX","24T","DOX_24T_EMP_250904_RGB_0015_DAPI",39,"DOX_24T","20X"
"145","Ind4","84-1","DOX","24T","DOX_24T_EMP_250904_RGB_0016_DAPI",72,"DOX_24T","20X"
"146","Ind4","84-1","DOX","24T","DOX_24T_EMP_250904_RGB_0017_DAPI",39,"DOX_24T","20X"
