"","Individual","Line","Treatment","Timepoint","Condition","Magnification","Image","Nuclei_Count","Mean_of_Mean","Mean_of_Median","Mean_of_Max","Mean_Percent_Red_Positive","Mean_Red_Positive_Pixels","Mean_Norm_Percent_Red_Positive"
"1","Ind1","87-1","DOX","144R","DOX_144R","20X","144R_DOX_87_yh2ax_20X_RGB_0001_DAPI",178,13.5265344827586,8.75862068965517,53.7873563218391,39.0965172413793,156.471264367816,39.0965273882032
"2","Ind1","87-1","DOX","144R","DOX_144R","20X","144R_DOX_87_yh2ax_20X_RGB_0005_DAPI",195,12.981277486911,8.94764397905759,53.3193717277487,43.1073455497382,203.094240837696,43.107372952532
"3","Ind1","87-1","DOX","24R","DOX_24R","20X","24R_DOX_87_yh2ax_20X_RGB_0001_DAPI",343,50.1903848396501,21.0845481049563,151.618075801749,626.497049562682,1880.19825072886,626.497133733998
"4","Ind1","87-1","DOX","24R","DOX_24R","20X","24R_DOX_87_yh2ax_20X_RGB_0002_DAPI",335,36.1326029850746,18.910447761194,95.6268656716418,567.823910447761,1671.58507462687,567.823948804311
"5","Ind1","87-1","DOX","24R","DOX_24R","20X","24R_DOX_87_yh2ax_20X_RGB_0010_DAPI",343,28.9041836734694,18.3760932944606,68.0816326530612,539.423119533528,1640.26530612245,539.423169823841
"6","Ind1","87-1","DOX","24R","DOX_24R","20X","24R_DOX_87_yh2ax_20X_RGB_0011_DAPI",343,50.1903848396501,21.0845481049563,151.618075801749,626.497049562682,1880.19825072886,626.497133733998
"7","Ind1","87-1","DOX","24T","DOX_24T","20X","24T_DOX_87_yh2ax_20X_RGB_0001_DAPI",63,23.847619047619,7.11111111111111,80.3650793650794,301.238396825397,1051.39682539683,301.23838265777
"8","Ind1","87-1","VEH","144R","VEH_144R","20X","DMSO144R_87_yh2ax_20X_dup_RGB_0001_DAPI",112,12.328,8.37142857142857,37.6571428571429,34.7702666666667,136.6,34.7702745059685
"9","Ind1","87-1","VEH","144R","VEH_144R","20X","DMSO144R_87_yh2ax_20X_dup_RGB_0002_DAPI",253,13.9156784140969,9.74449339207048,38.2555066079295,38.7056696035242,152.519823788546,38.7056501009555
"10","Ind1","87-1","VEH","144R","VEH_144R","20X","DMSO144R_87_yh2ax_20X_RGB_0001_DAPI",314,16.0864982578397,10.4808362369338,42.8745644599303,65.7520452961673,205.404181184669,65.7520335450226
"11","Ind1","87-1","VEH","24R","VEH_24R","20X","DMSO24R_87_yh2ax_20X_RGB_0001_DAPI",234,14.385128440367,10.5321100917431,38.1422018348624,50.4235275229358,216.178899082569,50.4235061990311
"12","Ind1","87-1","VEH","24R","VEH_24R","20X","DMSO24R_87_yh2ax_20X_RGB_0002_DAPI",351,16.525762611276,11.3293768545994,43.8605341246291,80.7901988130564,280.056379821958,80.7901671769209
"13","Ind1","87-1","VEH","24R","VEH_24R","20X","DMSO24R_87_yh2ax_20X_RGB_0003_DAPI",209,13.4001351351351,9.5027027027027,37.0108108108108,49.1229945945946,182.962162162162,49.1230181903658
"14","Ind1","87-1","VEH","24R","VEH_24R","20X","DMSO24R_87_yh2ax_20X_RGB_0004_DAPI",211,14.8317135416667,10.4947916666667,43.8177083333333,52.1204479166667,236.005208333333,52.12040502148
"15","Ind1","87-1","VEH","24T","VEH_24T","20X","DMSO24T_87_yh2ax_20X_dup_RGB_0001_DAPI",333,15.625012539185,11.3981191222571,40.294670846395,73.7399811912226,309.711598746082,73.7399662531226
"16","Ind1","87-1","VEH","24T","VEH_24T","20X","DMSO24T_87_yh2ax_20X_dup_RGB_0002_DAPI",279,15.0115482625483,10.3436293436293,38.5096525096525,54.2129420849421,188.779922779923,54.2129296989047
"17","Ind1","87-1","VEH","24T","VEH_24T","20X","DMSO24T_87_yh2ax_20X_RGB_0001_DAPI",232,13.533568627451,9.44117647058824,38.2990196078431,32.0485882352941,118.039215686275,32.0485410411066
