"","x"
"1","729737"
"2","102723897"
"3","100132287"
"4","102465432"
"5","100133331"
"6","79854"
"7","643837"
"8","26155"
"9","339451"
"10","9636"
"11","54991"
"12","51150"
"13","388581"
"14","118424"
"15","126789"
"16","80772"
"17","83756"
"18","1855"
"19","54998"
"20","148413"
"21","219293"
"22","83858"
"23","55210"
"24","339453"
"25","142678"
"26","728642"
"27","65220"
"28","5590"
"29","100506504"
"30","199990"
"31","6497"
"32","79906"
"33","11079"
"34","55229"
"35","63976"
"36","27237"
"37","127262"
"38","148870"
"39","388588"
"40","57470"
"41","1677"
"42","261734"
"43","6146"
"44","23463"
"45","83715"
"46","8718"
"47","79707"
"48","3104"
"49","9903"
"50","148479"
"51","90326"
"52","23261"
"53","9341"
"54","8863"
"55","11315"
"56","2023"
"57","80045"
"58","9563"
"59","84275"
"60","199953"
"61","5293"
"62","22883"
"63","64802"
"64","10277"
"65","23095"
"66","5226"
"67","10747"
"68","5394"
"69","2475"
"70","29914"
"71","26232"
"72","26270"
"73","10459"
"74","57085"
"75","4524"
"76","1185"
"77","90231"
"78","9927"
"79","60672"
"80","9249"
"81","126755"
"82","7799"
"83","55092"
"84","23341"
"85","84301"
"86","6248"
"87","284723"
"88","729614"
"89","23013"
"90","27129"
"91","348487"
"92","1969"
"93","54455"
"94","11209"
"95","11223"
"96","9696"
"97","4237"
"98","6390"
"99","11240"
"100","127707"
"101","23352"
"102","23065"
"103","51154"
"104","54896"
"105","832"
"106","440574"
"107","644068"
"108","255104"
"109","23252"
"110","65018"
"111","100861548"
"112","57576"
"113","50809"
"114","1889"
"115","84196"
"116","401944"
"117","29092"
"118","998"
"119","9923"
"120","2048"
"121","23028"
"122","7798"
"123","80818"
"124","148898"
"125","6920"
"126","55616"
"127","3399"
"128","6135"
"129","6924"
"130","100506963"
"131","57095"
"132","11313"
"133","90529"
"134","57185"
"135","11123"
"136","100506985"
"137","10250"
"138","25932"
"139","25949"
"140","57035"
"141","23585"
"142","55219"
"143","26119"
"144","57134"
"145","56181"
"146","646471"
"147","164091"
"148","5051"
"149","2134"
"150","7780"
"151","84676"
"152","149420"
"153","79927"
"154","51042"
"155","83442"
"156","91544"
"157","3151"
"158","8289"
"159","84243"
"160","54707"
"161","115572"
"162","23038"
"163","644961"
"164","9064"
"165","10163"
"166","27245"
"167","23673"
"168","5511"
"169","6118"
"170","27293"
"171","55113"
"172","2140"
"173","22826"
"174","93974"
"175","83667"
"176","54797"
"177","65979"
"178","1104"
"179","54952"
"180","85028"
"181","677838"
"182","51441"
"183","2035"
"184","51102"
"185","10076"
"186","9672"
"187","9698"
"188","51538"
"189","64129"
"190","553115"
"191","1307"
"192","23633"
"193","200081"
"194","79140"
"195","8668"
"196","339483"
"197","65108"
"198","55108"
"199","728116"
"200","339487"
"201","5928"
"202","81493"
"203","57648"
"204","8565"
"205","127544"
"206","204"
"207","149076"
"208","1912"
"209","114784"
"210","653160"
"211","5690"
"212","127703"
"213","192670"
"214","192669"
"215","55194"
"216","83931"
"217","127700"
"218","64960"
"219","728431"
"220","79753"
"221","29889"
"222","149175"
"223","79693"
"224","127687"
"225","3633"
"226","2275"
"227","64121"
"228","79647"
"229","4725"
"230","643314"
"231","728448"
"232","8761"
"233","5538"
"234","6018"
"235","64789"
"236","127396"
"237","9783"
"238","163732"
"239","1503"
"240","100507178"
"241","200172"
"242","59269"
"243","22887"
"244","728621"
"245","10465"
"246","4904"
"247","79078"
"248","6513"
"249","440584"
"250","149465"
"251","64834"
"252","5792"
"253","6487"
"254","1802"
"255","533"
"256","149473"
"257","79639"
"258","339541"
"259","6202"
"260","79654"
"261","7389"
"262","126661"
"263","5052"
"264","4678"
"265","60313"
"266","51249"
"267","55624"
"268","2166"
"269","148932"
"270","64756"
"271","9813"
"272","51727"
"273","388630"
"274","54558"
"275","26994"
"276","2060"
"277","5865"
"278","51060"
"279","9372"
"280","2882"
"281","79699"
"282","55268"
"283","6342"
"284","1376"
"285","55706"
"286","51668"
"287","115353"
"288","9528"
"289","606495"
"290","51253"
"291","23648"
"292","619518"
"293","25973"
"294","23358"
"295","8613"
"296","5563"
"297","1600"
"298","114803"
"299","83941"
"300","10207"
"301","85440"
"302","23421"
"303","5236"
"304","4919"
"305","57685"
"306","3716"
"307","9829"
"308","54741"
"309","3953"
"310","57708"
"311","23169"
"312","55970"
"313","100289178"
"314","79971"
"315","1491"
"316","257194"
"317","100526835"
"318","1429"
"319","127253"
"320","204962"
"321","34"
"322","1744"
"323","256435"
"324","81849"
"325","23032"
"326","374986"
"327","374987"
"328","91624"
"329","11080"
"330","64123"
"331","23266"
"332","79739"
"333","5567"
"334","100505741"
"335","117178"
"336","23566"
"337","126820"
"338","84144"
"339","148423"
"340","23576"
"341","57489"
"342","105378828"
"343","9403"
"344","2959"
"345","56267"
"346","84230"
"347","400761"
"348","55144"
"349","164045"
"350","646817"
"351","7813"
"352","6125"
"353","388650"
"354","1810"
"355","54874"
"356","30836"
"357","2730"
"358","9411"
"359","2152"
"360","126969"
"361","1266"
"362","100527978"
"363","25950"
"364","1806"
"365","178"
"366","64645"
"367","100506007"
"368","8634"
"369","7412"
"370","148867"
"371","101928370"
"372","1301"
"373","55599"
"374","284611"
"375","113802"
"376","23155"
"377","22911"
"378","6884"
"379","6301"
"380","343263"
"381","5686"
"382","284612"
"383","127002"
"384","2780"
"385","271"
"386","2948"
"387","1435"
"388","10768"
"389","85369"
"390","9122"
"391","55791"
"392","10390"
"393","128344"
"394","79084"
"395","515"
"396","128346"
"397","5906"
"398","55924"
"399","11218"
"400","54879"
"401","4343"
"402","389"
"403","6566"
"404","54665"
"405","204851"
"406","56944"
"407","163259"
"408","7812"
"409","10100"
"410","81839"
"411","55356"
"412","476"
"413","965"
"414","80263"
"415","10905"
"416","54855"
"417","54834"
"418","10885"
"419","10352"
"420","101929147"
"421","90874"
"422","4853"
"423","728841"
"424","100996724"
"425","101929796"
"426","101060684"
"427","653464"
"428","100996712"
"429","284565"
"430","647135"
"431","100288142"
"432","101060254"
"433","101929780"
"434","653519"
"435","10623"
"436","200035"
"437","10401"
"438","284615"
"439","10628"
"440","148738"
"441","100132406"
"442","388677"
"443","149013"
"444","728989"
"445","5565"
"446","171423"
"447","2330"
"448","607"
"449","51205"
"450","2702"
"451","51463"
"452","200030"
"453","25832"
"454","100996763"
"455","9659"
"456","400818"
"457","653513"
"458","100996761"
"459","101060226"
"460","653598"
"461","440689"
"462","2209"
"463","8370"
"464","105371405"
"465","126961"
"466","8337"
"467","337873"
"468","723790"
"469","554313"
"470","8349"
"471","10262"
"472","10903"
"473","56957"
"474","11311"
"475","51177"
"476","81611"
"477","51107"
"478","148523"
"479","54460"
"480","1893"
"481","1513"
"482","29956"
"483","54964"
"484","10962"
"485","126626"
"486","8394"
"487","57592"
"488","5298"
"489","5993"
"490","5692"
"491","7286"
"492","81609"
"493","117145"
"494","6282"
"495","140576"
"496","3608"
"497","65123"
"498","11000"
"499","57459"
"500","9909"
"501","200186"
"502","27173"
"503","10899"
"504","5872"
"505","6232"
"506","7170"
"507","89872"
"508","3570"
"509","126669"
"510","55585"
"511","103"
"512","10654"
"513","90780"
"514","6464"
"515","80308"
"516","1945"
"517","1942"
"518","80128"
"519","4580"
"520","2630"
"521","2629"
"522","2224"
"523","55870"
"524","645676"
"525","55249"
"526","7818"
"527","28956"
"528","92312"
"529","4000"
"530","64218"
"531","9673"
"532","11243"
"533","79957"
"534","84283"
"535","112770"
"536","4209"
"537","128240"
"538","51093"
"539","5546"
"540","375033"
"541","9826"
"542","2117"
"543","55243"
"544","57549"
"545","93183"
"546","8682"
"547","5824"
"548","1314"
"549","474338"
"550","23385"
"551","55600"
"552","100131187"
"553","7391"
"554","257106"
"555","51506"
"556","8703"
"557","4720"
"558","6391"
"559","25903"
"560","9722"
"561","127933"
"562","6675"
"563","4921"
"564","51478"
"565","6258"
"566","223"
"567","54499"
"568","7371"
"569","387597"
"570","25874"
"571","55827"
"572","375035"
"573","84832"
"574","8548"
"575","10560"
"576","2153"
"577","6403"
"578","55732"
"579","57147"
"580","5396"
"581","23215"
"582","51603"
"583","26052"
"584","7292"
"585","100506023"
"586","55157"
"587","100506046"
"588","9910"
"589","27101"
"590","63931"
"591","9674"
"592","64326"
