"","x"
"1","64856"
"2","26038"
"3","3604"
"4","79180"
"5","1188"
"6","1870"
"7","57822"
"8","79000"
"9","3925"
"10","84958"
"11","63967"
"12","55143"
"13","5453"
"14","26508"
"15","991"
"16","11004"
"17","1263"
"18","6491"
"19","1031"
"20","4998"
"21","163782"
"22","55635"
"23","55283"
"24","2634"
"25","8317"
"26","343099"
"27","29899"
"28","57535"
"29","84722"
"30","3737"
"31","4803"
"32","8458"
"33","653820"
"34","554282"
"35","728833"
"36","23632"
"37","8991"
"38","6275"
"39","1163"
"40","128239"
"41","8407"
"42","83540"
"43","339416"
"44","460"
"45","57795"
"46","5997"
"47","259266"
"48","2494"
"49","9928"
"50","23046"
"51","29089"
"52","55220"
"53","729533"
"54","4751"
"55","51514"
"56","1063"
"57","10637"
"58","7044"
"59","9156"
"60","55388"
"61","414149"
"62","8516"
"63","56952"
"64","84930"
"65","2658"
"66","118738"
"67","11130"
"68","983"
"69","219790"
"70","100144748"
"71","355"
"72","9585"
"73","3832"
"74","55165"
"75","3070"
"76","55118"
"77","150"
"78","153"
"79","4288"
"80","399827"
"81","338707"
"82","64787"
"83","283120"
"84","3481"
"85","6786"
"86","6240"
"87","10346"
"88","7762"
"89","51700"
"90","272"
"91","81930"
"92","57586"
"93","8534"
"94","29015"
"95","710"
"96","374393"
"97","220001"
"98","2237"
"99","3619"
"100","80150"
"101","113130"
"102","23649"
"103","283131"
"104","51083"
"105","9633"
"106","55107"
"107","10714"
"108","220042"
"109","53826"
"110","3014"
"111","53340"
"112","1111"
"113","2113"
"114","2305"
"115","10635"
"116","9918"
"117","83461"
"118","397"
"119","441631"
"120","55089"
"121","10024"
"122","79962"
"123","29127"
"124","25840"
"125","11226"
"126","9700"
"127","269"
"128","6490"
"129","1017"
"130","8914"
"131","5557"
"132","23306"
"133","8091"
"134","100128191"
"135","55592"
"136","283431"
"137","121601"
"138","55332"
"139","55010"
"140","11113"
"141","92558"
"142","9735"
"143","5426"
"144","221150"
"145","55835"
"146","675"
"147","5983"
"148","79866"
"149","1910"
"150","1880"
"151","650669"
"152","55320"
"153","5427"
"154","54331"
"155","1033"
"156","11169"
"157","9787"
"158","5228"
"159","145508"
"160","7443"
"161","1396"
"162","100288637"
"163","9824"
"164","701"
"165","90417"
"166","57082"
"167","5888"
"168","11339"
"169","51203"
"170","619189"
"171","79968"
"172","22995"
"173","388121"
"174","9133"
"175","145773"
"176","9768"
"177","51285"
"178","84465"
"179","55055"
"180","9493"
"181","10620"
"182","1138"
"183","11173"
"184","57214"
"185","145864"
"186","55215"
"187","90381"
"188","641"
"189","2242"
"190","9055"
"191","56963"
"192","899"
"193","124222"
"194","9088"
"195","9074"
"196","9235"
"197","116028"
"198","5347"
"199","728741"
"200","3835"
"201","112755"
"202","79801"
"203","23594"
"204","23090"
"205","4501"
"206","55715"
"207","64785"
"208","1006"
"209","23491"
"210","3931"
"211","51659"
"212","81620"
"213","2175"
"214","359845"
"215","5176"
"216","83903"
"217","342527"
"218","54478"
"219","9212"
"220","100507131"
"221","6470"
"222","4239"
"223","10615"
"224","146857"
"225","990"
"226","7153"
"227","29893"
"228","672"
"229","78995"
"230","146909"
"231","146956"
"232","55771"
"233","83990"
"234","9902"
"235","3838"
"236","9120"
"237","5608"
"238","3759"
"239","2905"
"240","2232"
"241","10610"
"242","7083"
"243","332"
"244","84733"
"245","7298"
"246","10403"
"247","284217"
"248","3613"
"249","5932"
"250","220134"
"251","162681"
"252","23526"
"253","92840"
"254","10036"
"255","126282"
"256","29128"
"257","147841"
