"","x"
"1","CASP9"
"2","RPA2"
"3","GADD45A"
"4","CDK1"
"5","FAS"
"6","PIDD1"
"7","DDB2"
"8","RAD9A"
"9","CCND1"
"10","MRE11"
"11","ATM"
"12","H2AX"
"13","CHEK1"
"14","RAD52"
"15","CCND2"
"16","CDKN1B"
"17","CDK2"
"18","CDK4"
"19","MDM2"
"20","APAF1"
"21","RB1"
"22","AKT1"
"23","RAD51"
"24","CCNB2"
"25","PML"
"26","TP53"
"27","BRCA1"
"28","TLK2"
"29","PMAIP1"
"30","GADD45B"
"31","CCNE1"
"32","BBC3"
"33","BAX"
"34","TLK1"
"35","CASP8"
"36","CREB1"
"37","E2F1"
"38","BID"
"39","CHEK2"
"40","FANCD2"
"41","CDC25A"
"42","ATRIP"
"43","ATR"
"44","RFC1"
"45","CASP3"
"46","RAD1"
"47","CCNB1"
"48","RAD17"
"49","RAD50"
"50","CDC25C"
"51","CDKN1A"
"52","CCND3"
"53","SESN1"
"54","CYCS"
"55","CDK6"
"56","CDK5"
"57","TNFRSF10B"
"58","PRKDC"
"59","NBN"
"60","CCNE2"
"61","RRM2B"
"62","MYC"
"63","GADD45G"
"64","ABL1"
"65","SMC1A"
"66","CASP9"
"67","RPA2"
"68","GADD45A"
"69","CDK1"
"70","FAS"
"71","PIDD1"
"72","DDB2"
"73","RAD9A"
"74","CCND1"
"75","MRE11"
"76","ATM"
"77","H2AX"
"78","CHEK1"
"79","RAD52"
"80","CCND2"
"81","CDKN1B"
"82","CDK2"
"83","CDK4"
"84","MDM2"
"85","APAF1"
"86","RB1"
"87","AKT1"
"88","RAD51"
"89","CCNB2"
"90","PML"
"91","TP53"
"92","BRCA1"
"93","TLK2"
"94","PMAIP1"
"95","GADD45B"
"96","CCNE1"
"97","BBC3"
"98","BAX"
"99","TLK1"
"100","CASP8"
"101","CREB1"
"102","E2F1"
"103","BID"
"104","CHEK2"
"105","FANCD2"
"106","CDC25A"
"107","ATRIP"
"108","ATR"
"109","RFC1"
"110","CASP3"
"111","RAD1"
"112","CCNB1"
"113","RAD17"
"114","RAD50"
"115","CDC25C"
"116","CDKN1A"
"117","CCND3"
"118","SESN1"
"119","CYCS"
"120","CDK6"
"121","CDK5"
"122","TNFRSF10B"
"123","PRKDC"
"124","NBN"
"125","CCNE2"
"126","RRM2B"
"127","MYC"
"128","GADD45G"
"129","ABL1"
"130","SMC1A"
"131","CASP9"
"132","RPA2"
"133","GADD45A"
"134","CDK1"
"135","FAS"
"136","PIDD1"
"137","DDB2"
"138","RAD9A"
"139","CCND1"
"140","MRE11"
"141","ATM"
"142","H2AX"
"143","CHEK1"
"144","RAD52"
"145","CCND2"
"146","CDKN1B"
"147","CDK2"
"148","CDK4"
"149","MDM2"
"150","APAF1"
"151","RB1"
"152","AKT1"
"153","RAD51"
"154","CCNB2"
"155","PML"
"156","TP53"
"157","BRCA1"
"158","TLK2"
"159","PMAIP1"
"160","GADD45B"
"161","CCNE1"
"162","BBC3"
"163","BAX"
"164","TLK1"
"165","CASP8"
"166","CREB1"
"167","E2F1"
"168","BID"
"169","CHEK2"
"170","FANCD2"
"171","CDC25A"
"172","ATRIP"
"173","ATR"
"174","RFC1"
"175","CASP3"
"176","RAD1"
"177","CCNB1"
"178","RAD17"
"179","RAD50"
"180","CDC25C"
"181","CDKN1A"
"182","CCND3"
"183","SESN1"
"184","CYCS"
"185","CDK6"
"186","CDK5"
"187","TNFRSF10B"
"188","PRKDC"
"189","NBN"
"190","CCNE2"
"191","RRM2B"
"192","MYC"
"193","GADD45G"
"194","ABL1"
"195","SMC1A"
