"","SYMBOL","Response","Direction","Biomarker_candidate","HF_gene"
"1","ASTN1","ProChronic","up_up","yes","no"
"2","EPS8L2","ProChronic","up_up","yes","no"
"3","CEMIP","ProChronic","up_up","yes","no"
"4","P3H2","ProChronic","up_up","yes","no"
"5","CACNA2D3","ProChronic","up_up","yes","no"
"6","PDE11A","ProChronic","up_up","yes","no"
"7","ACHE","ProChronic","up_up","yes","no"
"8","CPE","ProChronic","up_up","yes","no"
"9","PTCHD4","ProChronic","up_up","yes","no"
"10","ABCA12","non-ProChronic","up_down","no","yes"
"11","CDKN1A","non-ProChronic","up_down","no","yes"
"12","CIT","non-ProChronic","up_down","no","yes"
"13","TRAIP","non-ProChronic","up_down","no","yes"
