"","SYMBOL","Response","Direction","Biomarker_candidate","HF_gene"
"1","CDKN1A","non-ProChronic","up_up_up","no","yes"
"2","CDC20","ProChronic","down_down_down","no","no"
"3","E2F2","ProChronic","up_down_down","no","no"
"4","POLD3","non-ProChronic","down_down_down","no","no"
"5","FEN1","non-ProChronic","up_down_down","no","no"
"6","MCM2","ProChronic","down_down_down","no","no"
"7","CCNB2","ProChronic","down_down_down","no","no"
"8","FAS","non-ProChronic","up_up_up","no","no"
"9","CDK1","ProChronic","up_down_down","no","no"
"10","RAD51","ProChronic","down_down_down","no","no"
"11","BRCA1","ProChronic","down_down_down","no","no"
"12","BLM","ProChronic","down_down_down","no","no"
"13","CHEK1","non-ProChronic","down_down_down","no","no"
"14","MAP2K6","non-ProChronic","down_down_down","no","no"
"15","ORC1","ProChronic","up_down_down","no","no"
"16","KNL1","ProChronic","down_down_down","no","no"
"17","EXO1","ProChronic","down_down_down","no","no"
"18","MCM7","ProChronic","up_down_down","no","no"
"19","TNFRSF9","non-ProChronic","down_down_down","no","no"
"20","ITGA8","non-ProChronic","up_down_down","no","no"
"21","EDNRB","non-ProChronic","up_up_down","no","no"
"22","NGF","non-ProChronic","up_up_up","no","no"
"23","CDK2","non-ProChronic","up_down_down","no","no"
"24","FGFR3","non-ProChronic","up_up_up","no","no"
"25","ASTN1","ProChronic","up_up_up","yes","no"
"26","EPS8L2","ProChronic","down_up_up","yes","no"
"27","CEMIP","ProChronic","up_up_up","yes","no"
"28","P3H2","ProChronic","up_up_up","yes","no"
"29","CACNA2D3","ProChronic","up_up_up","yes","no"
"30","PDE11A","ProChronic","up_up_up","yes","no"
"31","ACHE","ProChronic","up_up_up","yes","no"
"32","CPE","ProChronic","up_up_up","yes","no"
"33","PTCHD4","ProChronic","down_up_up","yes","no"
"34","ABCA12","non-ProChronic","up_up_up","no","yes"
"35","CIT","non-ProChronic","down_down_down","no","yes"
"36","TRAIP","non-ProChronic","down_down_down","no","yes"
