"","SYMBOL","Response","Direction","tx+0_DEG","tx+24_DEG","tx+144_DEG","Biomarker_candidate","HF_gene"
"1","ASTN1","ProChronic","up_up_up","nonDEG","nonDEG","nonDEG","yes","no"
"2","EPS8L2","ProChronic","down_up_up","nonDEG","DEG","DEG","yes","no"
"3","CEMIP","ProChronic","up_up_up","nonDEG","DEG","nonDEG","yes","no"
"4","P3H2","ProChronic","up_up_up","nonDEG","nonDEG","DEG","yes","no"
"5","CACNA2D3","ProChronic","up_up_up","DEG","DEG","DEG","yes","no"
"6","PDE11A","ProChronic","up_up_up","nonDEG","DEG","DEG","yes","no"
"7","ACHE","ProChronic","up_up_up","DEG","DEG","DEG","yes","no"
"8","CPE","ProChronic","up_up_up","DEG","DEG","DEG","yes","no"
"9","PTCHD4","ProChronic","down_up_up","nonDEG","DEG","DEG","yes","no"
"10","ABCA12","non-ProChronic","up_up_up","DEG","DEG","nonDEG","no","yes"
"11","CDKN1A","non-ProChronic","up_up_up","nonDEG","DEG","DEG","no","yes"
"12","CIT","non-ProChronic","down_down_down","DEG","DEG","DEG","no","yes"
"13","TRAIP","non-ProChronic","down_down_down","DEG","DEG","DEG","no","yes"
