"","X.1","X","Sample","Sample_bam","Total_reads","Total_Align","Counts","Line","Sex","Ind","Old_Ind","Treatment","Old_Drug","Time","Old_Time","Sample_name","Sample_ID","Final_sample_name","Cond","Old_Condition","Timepoint","Sample_name_plots"
"1",1,1,"MCW_EMP_JT_R36","MCW_EMP_JT_R36.bam",28377088,"28,377,088","20,017,534","87-1","F","1","2","DOX","DOX","t0","24T","87-1_DOX_24","87-1_DOX_24","DOX_t0_1","DOX_t0","DOX_24T","tx+0","DOX_tx+0_1"
"2",2,2,"MCW_EMP_JT_R38","MCW_EMP_JT_R38.bam",28391060,"28,391,060","21,334,270","87-1","F","1","2","VEH","DMSO","t0","24T","87-1_DMSO_24","87-1_DMSO_24","VEH_t0_1","VEH_t0","DMSO_24T","tx+0","VEH_tx+0_1"
"3",3,3,"MCW_EMP_JT_R39","MCW_EMP_JT_R39.bam",34132952,"34,132,952","25,714,988","87-1","F","1","2","DOX","DOX","t24","24R","87-1_DOX_24+24","87-1_DOX_24+24","DOX_t24_1","DOX_t24","DOX_24R","tx+24","DOX_tx+24_1"
"4",4,4,"MCW_EMP_JT_R41","MCW_EMP_JT_R41.bam",34609978,"34,609,978","26,356,290","87-1","F","1","2","VEH","DMSO","t24","24R","87-1_DMSO_24+24","87-1_DMSO_24+24","VEH_t24_1","VEH_t24","DMSO_24R","tx+24","VEH_tx+24_1"
"5",5,5,"MCW_EMP_JT_R42","MCW_EMP_JT_R42.bam",33811277,"33,811,277","23,497,279","87-1","F","1","2","DOX","DOX","t144","144R","87-1_DOX_24+144","87-1_DOX_24+144","DOX_t144_1","DOX_t144","DOX_144R","tx+144","DOX_tx+144_1"
"6",6,6,"MCW_EMP_JT_R44","MCW_EMP_JT_R44.bam",36858429,"36,858,429","25,878,841","87-1","F","1","2","VEH","DMSO","t144","144R","87-1_DMSO_24+144","87-1_DMSO_24+144","VEH_t144_1","VEH_t144","DMSO_144R","tx+144","VEH_tx+144_1"
"7",7,7,"MCW_EMP_JT_R45","MCW_EMP_JT_R45.bam",35329506,"35,329,506","23,195,184","78-1","F","2","3","DOX","DOX","t0","24T","78-1_DOX_24","78-1_DOX_24","DOX_t0_2","DOX_t0","DOX_24T","tx+0","DOX_tx+0_2"
"8",8,8,"MCW_EMP_JT_R47","MCW_EMP_JT_R47.bam",36161105,"36,161,105","25,648,723","78-1","F","2","3","VEH","DMSO","t0","24T","78-1_DMSO_24","78-1_DMSO_24","VEH_t0_2","VEH_t0","DMSO_24T","tx+0","VEH_tx+0_2"
"9",9,9,"MCW_EMP_JT_R48","MCW_EMP_JT_R48.bam",29815991,"29,815,991","18,250,610","78-1","F","2","3","DOX","DOX","t24","24R","78-1_DOX_24+24","78-1_DOX_24+24","DOX_t24_2","DOX_t24","DOX_24R","tx+24","DOX_tx+24_2"
"10",10,10,"MCW_EMP_JT_R50","MCW_EMP_JT_R50.bam",32419051,"32,419,051","24,364,234","78-1","F","2","3","VEH","DMSO","t24","24R","78-1_DMSO_24+24","78-1_DMSO_24+24","VEH_t24_2","VEH_t24","DMSO_24R","tx+24","VEH_tx+24_2"
"11",11,11,"MCW_EMP_JT_R51","MCW_EMP_JT_R51.bam",31604703,"31,604,703","19,801,072","78-1","F","2","3","DOX","DOX","t144","144R","78-1_DOX_24+144","78-1_DOX_24+144","DOX_t144_2","DOX_t144","DOX_144R","tx+144","DOX_tx+144_2"
"12",12,12,"MCW_EMP_JT_R53","MCW_EMP_JT_R53.bam",31036896,"31,036,896","22,672,688","78-1","F","2","3","VEH","DMSO","t144","144R","78-1_DMSO_24+144","78-1_DMSO_24+144","VEH_t144_2","VEH_t144","DMSO_144R","tx+144","VEH_tx+144_2"
"13",13,13,"MCW_EMP_JT_R54","MCW_EMP_JT_R54.bam",29942761,"29,942,761","20,726,954","75-1","F","3","4","DOX","DOX","t0","24T","75-1_DOX_24","75-1_DOX_24","DOX_t0_3","DOX_t0","DOX_24T","tx+0","DOX_tx+0_3"
"14",14,14,"MCW_EMP_JT_R56","MCW_EMP_JT_R56.bam",37271138,"37,271,138","28,213,836","75-1","F","3","4","VEH","DMSO","t0","24T","75-1_DMSO_24","75-1_DMSO_24","VEH_t0_3","VEH_t0","DMSO_24T","tx+0","VEH_tx+0_3"
"15",15,15,"MCW_EMP_JT_R57","MCW_EMP_JT_R57.bam",35783851,"35,783,851","25,911,782","75-1","F","3","4","DOX","DOX","t24","24R","75-1_DOX_24+24","75-1_DOX_24+24","DOX_t24_3","DOX_t24","DOX_24R","tx+24","DOX_tx+24_3"
